episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1654.2328346015013,131.0,0.5095986038394416,0.5465116279069767,0.23721058815398438,0.9924,1,4,0,0,0.0,0.0,28.0,235.0,24.0,0.49193548387096775,0.225,0.065,cuda,32.0,47.0,49.0,40.0,39.0,35.0,41.0,35.0,41.0,41.0
2,200,-1480.758137075549,212.0,0.46794338051623646,0.4344569288389513,0.3775537634408602,0.9848,2,4,0,0,0.0,0.0,29.0,228.0,39.0,0.47107438016528924,0.5774647887323944,0.04,cuda,35.0,34.0,47.0,35.0,48.0,40.0,37.0,41.0,51.0,32.0
3,200,-1854.541512193074,176.0,0.5367362722351121,0.5805243445692884,0.196785464709993,0.9772,3,4,0,0,0.0,0.0,27.0,244.0,23.0,0.4759036144578313,0.46153846153846156,0.045,cuda,36.0,43.0,34.0,43.0,47.0,40.0,39.0,37.0,41.0,40.0
4,200,-1631.3229141982067,193.0,0.48801916932907347,0.47297297297297297,0.4226836879432624,0.9696,4,4,0,0,0.0,0.0,31.0,262.0,34.0,0.44,0.582089552238806,0.005,cuda,45.0,34.0,50.0,35.0,51.0,41.0,33.0,32.0,36.0,43.0
5,200,-1516.3107468766448,191.0,0.49523809523809526,0.48507462686567165,0.20228451024425406,0.962,5,4,0,0,0.0,0.0,31.0,247.0,21.0,0.47696476964769646,0.375,0.07,cuda,38.0,30.0,46.0,40.0,62.0,38.0,31.0,32.0,40.0,43.0
6,200,-1494.2524826351232,200.0,0.4711297071129707,0.44106463878326996,0.38424591738712777,0.9544,6,4,0,0,0.0,0.0,23.0,232.0,31.0,0.4811594202898551,0.5666666666666667,0.045,cuda,35.0,29.0,47.0,44.0,51.0,33.0,35.0,43.0,44.0,39.0
7,200,-1516.7540483135529,185.0,0.46491969568892644,0.4946236559139785,0.37719733289248913,0.9468,7,4,0,0,0.0,0.0,35.0,255.0,24.0,0.4720670391061452,0.34782608695652173,0.025,cuda,31.0,35.0,30.0,36.0,61.0,41.0,38.0,53.0,41.0,34.0
8,200,-1571.5607521401894,173.0,0.48569023569023567,0.4632352941176471,0.2914074290443503,0.9392,8,4,0,0,0.0,0.0,29.0,233.0,39.0,0.5673469387755102,0.4533333333333333,0.0225,cuda,42.0,30.0,48.0,33.0,69.0,36.0,47.0,34.0,33.0,28.0
9,200,-1445.9677557814925,177.0,0.4558951965065502,0.4696969696969697,0.5246420497362472,0.9316,9,4,0,0,0.0,0.0,27.0,231.0,33.0,0.5403225806451613,0.7049180327868853,0.0375,cuda,42.0,33.0,41.0,35.0,63.0,37.0,39.0,34.0,44.0,32.0
10,200,-1482.6555747722664,215.0,0.4651741293532338,0.4664310954063604,0.2950374980054252,0.924,10,4,4,0,92.86273384094238,-0.293606803894043,28.0,251.0,34.0,0.6237623762376238,0.43333333333333335,0.03,cuda,36.0,39.0,35.0,34.0,69.0,35.0,43.0,37.0,34.0,38.0
